Audio file,Start,End,Text Full Verbatim
Hari Minggoean_001,0:07:16,0:07:29,angkasa tanpa tanpa apapun tanpa pesawat ruang angkasa tanpa pesawat shuttle shuttle kok Pesawat.,angkasa tanpa tanpa apapun tanpa pesawat ruang angkasa tanpa pesawat shuttle shuttle kok Pesawat.
Hari Minggoean_001,0:07:29,0:08:04,"Ulang aling, dia ga pake baju astronot segala macem, dia tinggalinnya bukan di planet tapi cuma di asteroid Dan disitu ada pohon, mawar, mawar juga bisa bicara dia keliling planet pake burung terus ada hewan yang bisa bicara terus nanti kita juga tau ada planet-planet yang isinya cuma ada satu orang yang tugasnya tuh ada yang cuma matiin lampu ada yang cuma mambuk-mabukkan.","Ulang aling, dia ga pake baju astronot segala macem, dia tinggalinnya bukan di planet tapi cuma di asteroid Dan disitu ada pohon, mawar, mawar juga bisa bicara dia keliling planet pake burung terus ada hewan yang bisa bicara terus nanti kita juga tau ada planet-planet yang isinya cuma ada satu orang yang tugasnya tuh ada yang cuma matiin lampu ada yang cuma mambuk-mabukkan."
Hari Minggoean_001,0:08:04,0:08:08,Ada yang ada satu planet isinya tuh.,Ada yang ada satu planet isinya tuh.
Hari Minggoean_001,0:08:08,0:09:08,"Cuma raja yang rajanya tuh mengakui punya semua bisa memerintah semua orang padahal ya itu tadi yang selalu ditahan itu cuma rajanya doang gimana dia mau memerintah atau melakukan kuasanya that's absurd dan di Semua Ikan di Langit itu keabsurdan yang paling jelas adalah dari tokoh utamanya. Tokoh utama kita ini seorang bis. Bis yang membawa seorang anak misterius keliling luar angkasa, yang keliling angkasa, keliling dunia juga. Terus si bus ini tuh ngomong atau berinteraksi bisa tahu isi pikiran orang atau hewan itu dari dari setiap kaki yang menyentuh badannya Badan di dalam busnya itu.","Cuma raja yang rajanya tuh mengakui punya semua bisa memerintah semua orang padahal ya itu tadi yang selalu ditahan itu cuma rajanya doang gimana dia mau memerintah atau melakukan kuasanya that's absurd dan di Semua Ikan di Langit itu keabsurdan yang paling jelas adalah dari tokoh utamanya. Tokoh utama kita ini seorang bis. Bis yang membawa seorang anak misterius keliling luar angkasa, yang keliling angkasa, keliling dunia juga. Terus si bus ini tuh ngomong atau berinteraksi bisa tahu isi pikiran orang atau hewan itu dari dari setiap kaki yang menyentuh badannya Badan di dalam busnya itu."
Hari Minggoean_001,0:09:08,0:09:13,"Terus ada kecowak juga, kecowa luar angkasa.","Terus ada kecowak juga, kecowa luar angkasa."
Hari Minggoean_001,0:09:13,0:09:17,Yang bisa Yang dianggap paling pinter lah.,Yang bisa Yang dianggap paling pinter lah.
Hari Minggoean_001,0:09:17,0:09:27,Terus Ada banyak lah Karena Karena ada Bukunya yang jelas lebih tebel daripada Le Petit Prince.,Terus Ada banyak lah Karena Karena ada Bukunya yang jelas lebih tebel daripada Le Petit Prince.
Hari Minggoean_001,0:09:27,0:09:51,"Prince dan itu banyak, luas banget di dunianya juga ada pohon, kayak ada pohon keramat pohon yang tua banget, bukan lebih tua dari semesta, setua semesta itu hampir setua semesta itu sendiri yang tau segala ilmu, segala pengetahuan, segala peristiwa-peristiwa yang pernah","Prince dan itu banyak, luas banget di dunianya juga ada pohon, kayak ada pohon keramat pohon yang tua banget, bukan lebih tua dari semesta, setua semesta itu hampir setua semesta itu sendiri yang tau segala ilmu, segala pengetahuan, segala peristiwa-peristiwa yang pernah"
Hari Minggoean_001,0:09:51,0:09:57,terjadi di alam semesta itu cukup gokil.,terjadi di alam semesta itu cukup gokil.
Hari Minggoean_001,0:09:57,0:09:59,Sih menurutku.,Sih menurutku.
Hari Minggoean_001,0:09:59,0:10:03,Dan pesan apa yang disampaikan...,Dan pesan apa yang disampaikan...
Hari Minggoean_001,0:10:03,0:10:08,"Ya... Semua orang bisa menginterpretasikannya beda-beda lah ya, bebas.","Ya... Semua orang bisa menginterpretasikannya beda-beda lah ya, bebas."
Hari Minggoean_001,0:10:08,0:10:17,"Tapi menurutku cara penyampaian yang... Yang itu tadi, ya dengan cara yang absurd, dengan cara...","Tapi menurutku cara penyampaian yang... Yang itu tadi, ya dengan cara yang absurd, dengan cara..."
Hari Minggoean_001,0:10:17,0:10:20,"Yang simbolik, itu aku suka banget.","Yang simbolik, itu aku suka banget."
Hari Minggoean_001,0:10:20,0:10:24,Dan ini kerasa banget ada di...,Dan ini kerasa banget ada di...
Hari Minggoean_001,0:10:24,0:10:31,"Buku Semua Ikan di Langit. Oh enggak tau ya, bakal mau bahas.","Buku Semua Ikan di Langit. Oh enggak tau ya, bakal mau bahas."
Hari Minggoean_001,0:10:31,0:10:35,Buku ini di episode sendiri atau enggak.,Buku ini di episode sendiri atau enggak.
Hari Minggoean_001,0:10:35,0:10:40,"Atau aku nulis sesuatu, ter-review tentang buku ini atau apapun yang aku pikirkan tentang.","Atau aku nulis sesuatu, ter-review tentang buku ini atau apapun yang aku pikirkan tentang."
Hari Minggoean_001,0:10:40,0:10:46,Buku ini Tapi sebenarnya ini menarik Pasti.,Buku ini Tapi sebenarnya ini menarik Pasti.
Hari Minggoean_001,0:10:46,0:10:58,"Ada lah, enggak ketang tulisan atau apa itu bakal aku coba tuangin pendapatku soal buku ini. Oke, itu. Dan selain...","Ada lah, enggak ketang tulisan atau apa itu bakal aku coba tuangin pendapatku soal buku ini. Oke, itu. Dan selain..."
Hari Minggoean_001,0:10:58,0:11:04,Sebenernya aku bukan orang yang sering baca. Tetapi...,Sebenernya aku bukan orang yang sering baca. Tetapi...
Hari Minggoean_001,0:11:04,0:11:08,"Ya, aku memaksakan untuk membaca karena aku.","Ya, aku memaksakan untuk membaca karena aku."
Hari Minggoean_001,0:11:08,0:11:13,Tahu membaca itu penting dan membaca itu melatih otak.,Tahu membaca itu penting dan membaca itu melatih otak.
Hari Minggoean_001,0:11:13,0:11:28,"Melatih otak itu juga... Apa ya? Salah satu ketakutan ku tuh... Takut jadi orang tua yang gak bisa ngapa-ngapain. Orang tua dalam arti bukan orang tua yang punya anak, tapi orang tua, orang yang berumur tua.","Melatih otak itu juga... Apa ya? Salah satu ketakutan ku tuh... Takut jadi orang tua yang gak bisa ngapa-ngapain. Orang tua dalam arti bukan orang tua yang punya anak, tapi orang tua, orang yang berumur tua."
Hari Minggoean_001,0:11:28,0:11:31,Yang sepuh.,Yang sepuh.
Hari Minggoean_001,0:11:31,0:11:49,"Yang berusia lanjut, yang udah kepala 6, kepala 7. Itu banyak diantara orang tua yang daya pikirnya kurang, daya ingatannya kurang, karena emang jarang dilatih dari masa-masa produktifnya. Dan aku nggak kepengen kayak gitu, menurutku.","Yang berusia lanjut, yang udah kepala 6, kepala 7. Itu banyak diantara orang tua yang daya pikirnya kurang, daya ingatannya kurang, karena emang jarang dilatih dari masa-masa produktifnya. Dan aku nggak kepengen kayak gitu, menurutku."
Hari Minggoean_001,0:11:49,0:11:53,"Itu apa ya, aku gak pengen, menurutku.","Itu apa ya, aku gak pengen, menurutku."
Hari Minggoean_001,0:11:53,0:11:58,Itu nyusahin dan aku gak kepengen itu nyusahin ke anak-anakku besok atau ke orang-orang.,Itu nyusahin dan aku gak kepengen itu nyusahin ke anak-anakku besok atau ke orang-orang.
Hari Minggoean_001,0:11:58,0:12:02,"Di sekitarku besok, itu aneh lah gak.","Di sekitarku besok, itu aneh lah gak."
Hari Minggoean_001,0:12:02,0:12:51,"Nyaman buatku, jadi aku usahakan untuk terus membaca tiap hari walaupun ya membaca itu sulit banget, 2 hari satu eh 2 hari, 2 halaman sehari itu juga bisa ngos-ngosan harus ngelawan malesnya itu juga gila-gilaan Jadi memang kebanyakan aku mendapatkan informasi atau mencari pikiran lebih tepatnya, bukan informasi Masih salah juga sih emang dari video visual, jadi konten audio visual yang kebanyakan dari Youtube Sebenernya banyak video yang aku tonton dan banyak juga yang menarik, cuma disini ada satu yang aku catat Karena kalau aku baca, itu aku nggak baca satu buku sampe abis, tapi aku baca beberapa.","Nyaman buatku, jadi aku usahakan untuk terus membaca tiap hari walaupun ya membaca itu sulit banget, 2 hari satu eh 2 hari, 2 halaman sehari itu juga bisa ngos-ngosan harus ngelawan malesnya itu juga gila-gilaan Jadi memang kebanyakan aku mendapatkan informasi atau mencari pikiran lebih tepatnya, bukan informasi Masih salah juga sih emang dari video visual, jadi konten audio visual yang kebanyakan dari Youtube Sebenernya banyak video yang aku tonton dan banyak juga yang menarik, cuma disini ada satu yang aku catat Karena kalau aku baca, itu aku nggak baca satu buku sampe abis, tapi aku baca beberapa."
Hari Minggoean_001,0:12:51,0:12:55,Buku yang nggak tau abisnya kapan Nah.,Buku yang nggak tau abisnya kapan Nah.
Hari Minggoean_001,0:12:55,0:13:02,"Salah satu buku yang aku baca, sedang baca, itu satu novel dari novelis Jepang.","Salah satu buku yang aku baca, sedang baca, itu satu novel dari novelis Jepang."
Hari Minggoean_001,0:13:02,0:13:05,"Untuk orang yang suka buku, aku rasa.","Untuk orang yang suka buku, aku rasa."
Hari Minggoean_001,0:13:05,0:13:11,"Semua orang tahu nama ini, Haruki Murakami. Dan juga aku lagi baca karyanya juga.","Semua orang tahu nama ini, Haruki Murakami. Dan juga aku lagi baca karyanya juga."
Hari Minggoean_001,0:13:11,0:13:14,Cukup fenomenal Aku ga bisa bilang bagus.,Cukup fenomenal Aku ga bisa bilang bagus.
Hari Minggoean_001,0:13:14,0:13:25,Atau engga ya Aku sejauh ini punya buku yang lebih favorit dari buku yang aku baca ini dari pengarang yang sama Tapi yang lagi aku baca sekarang ini.,Atau engga ya Aku sejauh ini punya buku yang lebih favorit dari buku yang aku baca ini dari pengarang yang sama Tapi yang lagi aku baca sekarang ini.
Hari Minggoean_001,0:13:25,0:13:32,"Norwegian Wood Itu oke lah, tapi sejauh.","Norwegian Wood Itu oke lah, tapi sejauh."
Hari Minggoean_001,0:13:32,0:13:43,Ini Buku favoritku dari Murakami itu judulnya apa yaa Colorless Tsukuru.,Ini Buku favoritku dari Murakami itu judulnya apa yaa Colorless Tsukuru.
Hari Minggoean_001,0:13:43,0:13:47,Bahasa Jepangnya aku nggak tau kayaknya.,Bahasa Jepangnya aku nggak tau kayaknya.
Hari Minggoean_001,0:13:47,0:13:55,"Nggak pernah inget bahasa Jepang. Tapi kalau nggak salah, Colorless Tsukuru itu.","Nggak pernah inget bahasa Jepang. Tapi kalau nggak salah, Colorless Tsukuru itu."
Hari Minggoean_001,0:13:55,0:14:03,Menurutku lebih menarik daripada Norwegian Wood.,Menurutku lebih menarik daripada Norwegian Wood.
Hari Minggoean_001,0:14:03,0:14:16,"Dan dari wajian buku itu aku bacanya bentuknya PDF sih Sedangkan kalau yang Karla Tsukuru itu aku bacanya Versi buku yang ngecetak, ya itu bekas sih, itu juga punya temen Tapi ternyata memang mengembal lebih.","Dan dari wajian buku itu aku bacanya bentuknya PDF sih Sedangkan kalau yang Karla Tsukuru itu aku bacanya Versi buku yang ngecetak, ya itu bekas sih, itu juga punya temen Tapi ternyata memang mengembal lebih."
Hari Minggoean_001,0:14:16,0:14:26,"Menyenangkan dari baca dari buku sih Ya, pokoknya Secara karya nggak begitu paham soal.","Menyenangkan dari baca dari buku sih Ya, pokoknya Secara karya nggak begitu paham soal."
Hari Minggoean_001,0:14:26,0:14:43,"Murah kami, nggak begitu eksplor banyak Tapi secara Apa ya sebutannya, secara person ya, ya jelas aku gak kenal, tapi aku lebih ngikutin orangnya gitu loh daripada karyanya.","Murah kami, nggak begitu eksplor banyak Tapi secara Apa ya sebutannya, secara person ya, ya jelas aku gak kenal, tapi aku lebih ngikutin orangnya gitu loh daripada karyanya."
Hari Minggoean_001,0:14:43,0:14:50,Jadi kayak trik-trik pendapatnya menurut kami soal.,Jadi kayak trik-trik pendapatnya menurut kami soal.
Hari Minggoean_001,0:14:50,0:15:13,"Sesuatu, terutama soal menulis atau soal tulisan suka aku kulik-kulik entah aku searching-searching di google atau aku cari-cari video-videonya yang ngebahas di youtube nah tiba-tiba, bukan tiba-tiba juga pada masa itu emang lagi sering ngecek.","Sesuatu, terutama soal menulis atau soal tulisan suka aku kulik-kulik entah aku searching-searching di google atau aku cari-cari video-videonya yang ngebahas di youtube nah tiba-tiba, bukan tiba-tiba juga pada masa itu emang lagi sering ngecek."
Hari Minggoean_001,0:15:13,0:15:35,"Murakami dan ada di beranda youtube ku itu satu channel satu episode yang ngebahas kenapa penulis sekarang itu menurut Murakami pada ukuran yang keren ya, aku gak nonton.","Murakami dan ada di beranda youtube ku itu satu channel satu episode yang ngebahas kenapa penulis sekarang itu menurut Murakami pada ukuran yang keren ya, aku gak nonton."
Hari Minggoean_001,0:15:35,0:16:07,"Video itu sampe abis tapi ada bagian yang menarik di awal Karena, jadi salah satunya kenapa penulis sekarang itu tulisannya pada apa ya, kalau aku nyebutnya sih nggak penuh Itu karena penulis yang baru relatif menyepelekan ketahanan fisik Padahal menulis berkarya, atau mungkin kita bisa tarik berkarya dalam bentuk apapun dalam media apapun, itu juga membicarakan.","Video itu sampe abis tapi ada bagian yang menarik di awal Karena, jadi salah satunya kenapa penulis sekarang itu tulisannya pada apa ya, kalau aku nyebutnya sih nggak penuh Itu karena penulis yang baru relatif menyepelekan ketahanan fisik Padahal menulis berkarya, atau mungkin kita bisa tarik berkarya dalam bentuk apapun dalam media apapun, itu juga membicarakan."
Hari Minggoean_001,0:16:07,0:16:13,"Soal ketahanan Ya, ya bisa aja.","Soal ketahanan Ya, ya bisa aja."
Hari Minggoean_001,0:16:13,0:16:24,"Dia punya ide yang bagus, punya teknik. Misalnya kalau dia pelukis, teknik pelukis yang bagus dan segala macam. Tapi kalau dia nggak punya stamina yang","Dia punya ide yang bagus, punya teknik. Misalnya kalau dia pelukis, teknik pelukis yang bagus dan segala macam. Tapi kalau dia nggak punya stamina yang"
Hari Minggoean_001,0:16:24,0:16:28,"bagus, dia nggak bisa ngerjain itu sampai","bagus, dia nggak bisa ngerjain itu sampai"
Hari Minggoean_001,0:16:28,0:16:39,"rampung atau dalam periode yang panjang. Dan sedangkan, ya kita tahulah, ngerjain sepotong-sepotong itu pertama jadi nggak jelas apa yang.","rampung atau dalam periode yang panjang. Dan sedangkan, ya kita tahulah, ngerjain sepotong-sepotong itu pertama jadi nggak jelas apa yang."
Hari Minggoean_001,0:16:39,0:16:41,"Mau Ya, nggak fokus lah.","Mau Ya, nggak fokus lah."
Hari Minggoean_001,0:16:41,0:16:48,Ini jadi nggak fokus apa yang pengen dituangkan lewat sebuah karya itu.,Ini jadi nggak fokus apa yang pengen dituangkan lewat sebuah karya itu.
Hari Minggoean_001,0:16:48,0:16:53,"Jadi ya, bakal aneh lah kalau misalnya.","Jadi ya, bakal aneh lah kalau misalnya."
Hari Minggoean_001,0:16:53,0:17:12,"Stamina itu nggak banyak, implikasinya jadi kerjanya itu sebentar-sebentar dan kalau sebentar-sebentar itu gampng ke-distract dan tujuan utama atau kefokusan dalam menentukan oh ini tujuanku ini titik.","Stamina itu nggak banyak, implikasinya jadi kerjanya itu sebentar-sebentar dan kalau sebentar-sebentar itu gampng ke-distract dan tujuan utama atau kefokusan dalam menentukan oh ini tujuanku ini titik."
Hari Minggoean_001,0:17:12,0:17:18,Yang aku ingin sampai tapi karena sering,Yang aku ingin sampai tapi karena sering
Hari Minggoean_001,0:17:18,0:17:57,"break-Break itu seling berhenti-berhenti entah itu itungannya jam atau mungkin hari besoknya itu bikin kita jadi susah fokus, jadi lupa apa sih yang aku pikirin kemarin dan segala macem dan itu membuat sebuah karya jadinya agak berantakan, agak kebingungan mencari visinya karena visinya berubah-ubah setiap kali kita ngerjain karena kerjainya itu kepotong-potong Itu, dan Murakami ini juga terkenal karena penulis yang suka banget olahraga, utamanya lari. Dan sebenernya aku into sama Murakami karena","break-Break itu seling berhenti-berhenti entah itu itungannya jam atau mungkin hari besoknya itu bikin kita jadi susah fokus, jadi lupa apa sih yang aku pikirin kemarin dan segala macem dan itu membuat sebuah karya jadinya agak berantakan, agak kebingungan mencari visinya karena visinya berubah-ubah setiap kali kita ngerjain karena kerjainya itu kepotong-potong Itu, dan Murakami ini juga terkenal karena penulis yang suka banget olahraga, utamanya lari. Dan sebenernya aku into sama Murakami karena"
Hari Minggoean_001,0:17:57,0:18:02,dia tahu dia suka lari sih.,dia tahu dia suka lari sih.
Hari Minggoean_001,0:18:02,0:18:18,Habis itu baru... eksplorasi lebih lanjut soal karya-karyanya dia ngeluarin apa aja sih dan thoughtsnya atau pikirannya soal lari atau secara umum itu dari mana apa aja itu ya karena waktu,Habis itu baru... eksplorasi lebih lanjut soal karya-karyanya dia ngeluarin apa aja sih dan thoughtsnya atau pikirannya soal lari atau secara umum itu dari mana apa aja itu ya karena waktu
Hari Minggoean_001,0:18:18,0:18:29,"Itu banget aku relate sama itu, aku lagi seneng-senengnya lari yang mana","Itu banget aku relate sama itu, aku lagi seneng-senengnya lari yang mana"
