Audio file,Start,End,Audio file,Start,End,Text Text Clean Verbatim
Hari Minggoean_002,0:04:53,0:05:04,"Gap umur yang jauh ini itu tuh udah bisa bikin apa ya, kita udah kebayang potensi komedi yang bisa ditawarkan sama ini.",,,,
Hari Minggoean_002,0:05:04,0:05:20,"Nah, di luar itu semua, aku sebenarnya suka sama series ini karena di series ini ngasih kesempatan buat aktor-aktor yang udah senior dapet peran utama, gak cuma aktor-aktris yang muda-muda aja.",,,,
Hari Minggoean_002,0:05:20,0:06:03,"kalau aku sendiri selalu tertarik untuk ngulik atau sekedar cari tahu ya ngulik kayak terlalu gimana gitu aku tuh pengen cari tahu gimana cara berpikirnya orang-orang yang udah menua ini yang udah berumur ini selalu kebayang atau selalu ada pertanyaan di kepalaku apa sih masalah-masalah yang sering banget mereka hadapin dan pertanyaan-pertanyaan yang kira-kira bakal aku tanyakan ke diri gue sendiri ketika ada potensi-potensi atau umur tuh udah mulai makin tua Nah, film atau series ini kan juga salah satu bentuk media.",,,,
Hari Minggoean_002,0:06:03,0:06:10,"Jadi, keterwakilan atas semua pihak atau semua kondisi keadaan menurutku penting sih.",,,,
Hari Minggoean_002,0:06:10,0:06:19,"Jadi, kita bisa lebih paham atau paling nggak kita punya gambaran soal keadaan tadi yang mungkin belum pernah kita rasain.",,,,
Hari Minggoean_002,0:06:19,0:06:25,"Atau malah, kita nggak akan pernah sama sekali bisa ngerasain di posisi itu.",,,,
Hari Minggoean_002,0:06:25,0:06:47,ingin mengetahui berbagai kondisi manusia yang kayak tadi misalnya kita bisa membangun empati dan gak cuma hidup di dalam kebenaran yang ada di kepala kita sendiri dan terlebih soal menjadi orang yang udah tua yang udah berumur gitu Kita yang masih muda ini mungkin nggak bisa relate sekarang.,,,,
Hari Minggoean_002,0:06:47,0:06:49,Tapi kamu pernah dengar nggak sih?,,,,
Hari Minggoean_002,0:06:49,0:06:55,Masalah-masalah apa yang kira-kira dihadapi sama orang-orang yang udah berumur kayak gitu.,,,,
Hari Minggoean_002,0:06:55,0:06:58,Gimana rasanya hidup sendirian setelah ditinggal pasangan.,,,,
Hari Minggoean_002,0:06:58,0:07:01,Terus ngerasain puber kedua.,,,,
Hari Minggoean_002,0:07:01,0:07:06,Jatuh cinta lagi setelah hidup dengan pasangan yang sama selama bertahun-tahun.,,,,
Hari Minggoean_002,0:07:06,0:07:09,Belum lagi soal kesendirian.,,,,
Hari Minggoean_002,0:07:09,0:07:11,Pernah kepikiran nggak sih?,,,,
Hari Minggoean_002,0:07:11,0:07:15,Jadi orang yang hidupnya lebih lama dibandingin teman-teman seenggkatannya.,,,,
Hari Minggoean_002,0:07:15,0:07:18,Kebayang nggak sih susahnya nyari teman?,,,,
Hari Minggoean_002,0:07:18,0:07:25,"Mau pergi kemana-mana harus diantar, badannya udah pada sakit semua, berdiri juga udah nggak bisa lama mungkin.",,,,
Hari Minggoean_002,0:07:25,0:07:30,"Itu juga kalau masih bisa ada yang diampiri, disamperin.",,,,
Hari Minggoean_002,0:07:30,0:07:34,"Kalo udah ga ada, berduaan temen-temen ya, gimana coba?",,,,
Hari Minggoean_002,0:07:34,0:07:42,"Kalo kita di posisi mereka, kita nyesah ga sih ngejalanin semua permasalahan kayak gitu?",,,,
Hari Minggoean_002,0:07:42,0:07:43,"Ya, ga tau ya.",,,,
Hari Minggoean_002,0:07:43,0:07:46,"Untuk aku, topik-topik ini menarik sih.",,,,
Hari Minggoean_002,0:07:46,0:07:59,"Aku jadi punya imajinasi, punya bayangan, bagaimana kira-kira di masa tua besok aku ngadepin masalah-masalah yang kayak gitu.",,,,
Hari Minggoean_002,0:07:59,0:08:05,"Nah, dari ngomongin masa tua, sekarang kita ngomongin soal masa-masa waktu masih bocah.",,,,
Hari Minggoean_002,0:08:05,0:08:15,"Nggak tau kenapa, tapi aku direkomendasiin sama Youtube musikku di beranda, lagu Sherina waktu dia masih bocah.",,,,
Hari Minggoean_002,0:08:15,0:08:24,"Perasaan sih aku nggak ngetik nama Sherina, kecuali ya emang waktu itu sempet nyari-nyari informasi soal film Petualangan Sherina 2.",,,,
Hari Minggoean_002,0:08:24,0:08:27,"Eh, aku nggak tau itu tanya-tanya dari mana, tapi anyway.",,,,
Hari Minggoean_002,0:08:27,0:08:56,"dengerin lagunya pas masih kecil itu aku jadi inget waktu aku dengerin itu pertama kali masih kecil juga yang jelas jujur aku gak terlalu dekat secara emosional dengan sosok Sherina karena emang waktu masih kecil aku juga gak pernah nonton Petualangan Sherina denger ada filmnya aja enggak Mungkin denger, tapi nggak tertarik dengar-dengar judulnya atau lihat konsepnya, nonton reklamnya atau sebagai segala macam.",,,,
Hari Minggoean_002,0:08:56,0:09:01,"Tapi waktu masa-masa itu, aku sempat dibeliin kaset lagunya Sherina.",,,,
Hari Minggoean_002,0:09:01,0:09:09,"Judul albumnya, Andai Aku Besar Nanti, yang rilis tahun 1999.",,,,
Hari Minggoean_002,0:09:09,0:09:15,"Tapi waktu tahun segitu banget sih, waktu tahun rilisnya banget, ya aku masih bocah.",,,,
Hari Minggoean_002,0:09:15,0:09:21,Aku jadi baru denger pertama kali itu tahun 2000-an awan lah kira-kira.,,,,
Hari Minggoean_002,0:09:21,0:09:30,"Di periode yang sama, di waktu-waktu yang sama juga, aku dibeliin kaset lagu anak-anak, terutama lagunya Tasya.",,,,
Hari Minggoean_002,0:09:30,0:09:38,Sejauh ini aku ngerasa dua nama penyanyi cilik ini nggak bisa tergantikan di genre lagu anak-anak.,,,,
Hari Minggoean_002,0:09:38,0:09:40,Paling nggak buatku ya.,,,,
Hari Minggoean_002,0:09:40,0:09:46,Dan sampai tahun 2024 ini pun aku nggak tau banyak lagu anak-anak selain dari mereka.,,,,
Hari Minggoean_002,0:09:46,0:09:57,"Walaupun kalian yang dengerin sinyar ini udah remaja atau beranjak dewasa, aku tetap nyaranin kalian buat nubah dengerin lagu-lagu Sherina di album ini.",,,,
Hari Minggoean_002,0:09:57,0:10:01,"Walaupun liriknya sederhana, tapi nggak terlalu kekanak-kanakan kok.",,,,
Hari Minggoean_002,0:10:01,0:10:05,"Bukan kayak lagu Diobok-obok, atau lagu kemarin Paman Datang.",,,,
Hari Minggoean_002,0:10:05,0:10:10,"Secara lirik, untuk umur berapapun masih bisa berterimalah menurutku.",,,,
Hari Minggoean_002,0:10:10,0:10:17,"Tapi yang jelas, coba dilihat dari segi lagu, dari segi musiknya, dari musikalitasnya.",,,,
Hari Minggoean_002,0:10:17,0:10:22,"Aduh, dari melodinya, dari aransemennya, masih layak banget buat didengerin.",,,,
Hari Minggoean_002,0:10:22,0:10:29,Dan nilai estetika atau keindahannya ini nggak semudah itu hilang ditelan sama zaman.,,,,
Hari Minggoean_002,0:10:29,0:10:36,"Nah, terakhir, kemarin banget pas malam minggu, aku baru mulai lari lagi.",,,,
Hari Minggoean_002,0:10:36,0:10:40,"Ya, walaupun melakukannya masih pakai ogah-ogahan sih.",,,,
Hari Minggoean_002,0:10:40,0:10:45,"Harusnya, aku tuh niat Sabtu pagi udah keluar buat jogging.",,,,
Hari Minggoean_002,0:10:45,0:10:55,"Eh, cuma pas itu tidurnya pulas banget pagi-pagi, sampai matahari yang tinggi, jadi mau keluar, aduh, panas, panas.",,,,
Hari Minggoean_002,0:10:55,0:11:03,"Tapi emang kemarin itu udah aku niatin, gimana pun keadaannya harus lari di hari Sabtu itu.",,,,
Hari Minggoean_002,0:11:03,0:11:07,Ya walaupun pada kenyataannya baru kejadian pas malamnya.,,,,
Hari Minggoean_002,0:11:07,0:11:10,Aku juga nggak begitu maksain soal jarak tempuh.,,,,
Hari Minggoean_002,0:11:10,0:11:17,"Mau jauh, mau pendek, mau lama, mau sebentar, mau pace-nya cepet, mau lambat.",,,,
Hari Minggoean_002,0:11:17,0:11:20,Nggak begitu masalah lah.,,,,
Hari Minggoean_002,0:11:20,0:11:23,Yang penting niatku tuh mulai dulu lagi aja.,,,,
Hari Minggoean_002,0:11:23,0:11:59,"dan kemarin pada akhirnya aku cuma lari kurang lebih 1 kilo dan pace-nya juga cepet-cepet banget ya jadi biar gampang aku cuma lari deket rumah terus ya rute-rute gitu-gitu doang ya seadanya banget lah tapi pas lari itu aku baru sadar lebih tepatnya baru keingetan lagi kalau lari itu buatku bukan cuma masalah untuk jaga kesehatan fisik doang tapi juga ngebantu ngejaga kesehatan mental Ya walaupun cuma bentar, aku tetap dapet perasaan punya gairah untuk hidup.",,,,
Hari Minggoean_002,0:11:59,0:12:04,Dan setiap hembusan nafas yang aku keluarin waktu lari jadi punya arti lagi.,,,,
Hari Minggoean_002,0:12:04,0:12:09,Aku bisa ngeliat lagi tujuanku itu mau ngapain sih disini.,,,,
Hari Minggoean_002,0:12:09,0:12:13,Dan apa yang mau aku capai di hidup yang singkat ini.,,,,
Hari Minggoean_002,0:12:13,0:12:19,Belakangan emang kondisi lagi lesu dan hampir gak ada semangat sama sekali.,,,,
Hari Minggoean_002,0:12:19,0:12:20,Dikira kenapa?,,,,
Hari Minggoean_002,0:12:20,0:12:24,"Eh, ternyata salah satu alasannya ya kurang lari.",,,,
Hari Minggoean_002,0:12:24,0:12:26,Emang.,,,,
Hari Minggoean_002,0:12:26,0:12:30,Mungkin segitu aja sih cerita aku minggu ini.,,,,
Hari Minggoean_002,0:12:30,0:12:32,"Nah, sekarang gantian.",,,,
Hari Minggoean_002,0:12:32,0:12:35,"Giliranmu, apa ceritamu minggu ini?",,,,
